feed intake," g/d""",bodyweightgain,akp,alt,gluclose,nefa,pip,tc,tg,trap,uric acid,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS,COHESIVENESS,GUMMINESS,RESILIENCE,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1-3 weeks,B,broiler DHA,S 1%,51.51625,1390.93875,4082.405231,,,,,,,319.9159125,17.38673438,4.868285625,11.12751,16.691265,15.30032625,6.95469375,10.014759,11.12751,2.7818775,12.51844875,0,0,0,0,0,0,0,0,0,0,62.45314988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9093875,0,0,0,0,0,0,0,0,0,0,6416400.454,157176.0788,625922.4375,0,10432.77504,1043.204063,0,1461.563735,5423.530285,21949.01348,5423.530285,5217.234364,236.2002331,542.9704947,9.689279333,2190925.669,13.9093875,11.27771873,6.259224375,0,2.7818775,2.7818775,4.17281625,0.83456325,3.619610978,16692.13378,73.02428438,93922.58912,41734.23826,125.1911084,73028.65818,51.51625,39.86,,,2.157422668,,90.38208169,44.3086455,24.59952,,,0.493515577,0.861701402,2.651008984,2.470527033,0.856715789,3.966307465,1.128,2.644,2.744,0.162,1.395,0.317,,,,,,,,,,,,,
6,1-3 weeks,B,broiler DHA,S 1%,55.8625,1508.2875,4426.823813,,,,,,,346.906125,18.85359375,5.27900625,12.0663,18.09945,16.5911625,7.5414375,10.85967,12.0663,3.016575,13.5745875,0,0,0,0,0,0,0,0,0,0,67.72210875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.082875,0,0,0,0,0,0,0,0,0,0,6957730.238,170436.4875,678729.375,0,11312.95263,1131.215625,0,1584.870873,5881.095005,23800.77675,5881.095005,5657.394602,256.1276397,588.7790602,10.50673073,2375766.582,15.082875,12.22918132,6.78729375,0,3.016575,3.016575,4.5248625,0.9049725,3.924985189,18100.39208,79.18509375,101846.5171,45255.21335,135.7530544,79189.83656,55.8625,42.5,390.65,3.105648889,1.990893489,649.5259,106.7193676,51.044446,34.28437,,0.278999411,0.484119835,0.94175815,3.850262989,4.949489734,1.438677564,5.398573701,0.809,2.805,4.178,0.21,1.319,0.456,,,,,,,,,,,,,
1,1-3 weeks,B,broiler DHA,s 2%,49.5475,1337.7825,3926.391638,,,,,,,307.689975,16.72228125,4.68223875,10.70226,16.05339,14.7156075,6.6889125,9.632034,10.70226,2.675565,12.0400425,0,0,0,0,0,0,0,0,0,0,69.37975709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.377825,0,0,0,0,0,0,0,0,0,0,6322360.095,302338.9103,602002.125,0,10034.05792,1003.336875,0,1406.320256,5415.591209,22175.22051,4015.471363,5018.314824,253.6615605,542.6880904,10.61129079,2107195.797,13.377825,10.84672834,6.02002125,0,2.675565,2.675565,4.0133475,0.8026695,3.454613408,16054.2217,70.23358125,90333.15422,40139.3068,120.406643,70237.75058,49.5475,39.88,,2.783177359,1.79066969,742.02155,81.4229249,66.117566,32.209045,,,0.44603362,0.859347834,4.475250513,22.58680219,10.68098894,4.524165221,0.654,2.158,2.629,0.058,1.098,0.338,,,,,,,,,,,,,
2,1-3 weeks,B,broiler DHA,s 2%,58.2425,1572.5475,4615.426913,,,,,,,361.685925,19.65684375,5.50391625,12.58038,18.87057,17.2980225,7.8627375,11.322342,12.58038,3.145095,14.1529275,0,0,0,0,0,0,0,0,0,0,81.55508355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.725475,0,0,0,0,0,0,0,0,0,0,7431859.485,355395.8117,707646.375,0,11794.91636,1179.410625,0,1653.112821,6365.963388,26066.70933,4720.139076,5898.969699,298.1761631,637.9234291,12.47344677,2476983.727,15.725475,12.75020082,7.07646375,0,3.145095,3.145095,4.7176425,0.9435285,4.060857186,18871.54765,82.55874375,106185.554,47183.28021,141.5365842,82563.64475,58.2425,35.27,87.64,2.46566693,2.066706384,693.19485,74.17654809,63.6210805,33.592595,,0.276962919,0.161753071,0.308980254,1.160785924,1.225851207,0.278788045,1.645699694,0.675,2.462,3.749,0.123,0.528,0.51,,,,,,,,,,,,,
3,1-3 weeks,B,broiler DHA,s 2%,60.84125,1642.71375,4821.364856,,,,,,,377.8241625,20.53392188,5.749498125,13.14171,19.712565,18.06985125,8.21356875,11.827539,13.14171,3.2854275,14.78442375,0,0,0,0,0,0,0,0,0,0,85.19402888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4271375,0,0,0,0,0,0,0,0,0,0,7763465.183,371253.3877,739221.1875,0,12321.19938,1232.035313,0,1726.873854,6650.009358,27229.79232,4930.749222,6162.178653,311.4806281,666.3872401,13.03000547,2587505.45,16.4271375,13.31910814,7.392211875,0,3.2854275,3.2854275,4.92814125,0.98562825,4.242050518,19713.58628,86.24247188,110923.498,49288.57358,147.8518728,86247.59156,60.84125,44.11,181.57,,2.154182801,857.899,70.02635046,55.8961065,22.66255,,0.183284285,0.741311443,1.28216908,3.437198203,6.56288399,2.568902094,7.486762087,0.533482435,1.713950889,2.637745702,0.051917434,0.469662012,0.269365426,,,,,,,,,,,,,
4,1-3 weeks,B,broiler DHA,s 2%,56.63375,1529.11125,4487.941519,,,,,,,351.6955875,19.11389063,5.351889375,12.23289,18.349335,16.82022375,7.64555625,11.009601,12.23289,3.0582225,13.76200125,0,0,0,0,0,0,0,0,0,0,79.30240311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2911125,0,0,0,0,0,0,0,0,0,0,7226579.768,345579.2171,688100.0625,0,11469.12211,1146.833438,0,1607.45123,6190.125408,25346.70558,4589.761367,5736.030822,289.9400657,620.3029747,12.12891044,2408565.518,15.2911125,12.3980201,6.881000625,0,3.0582225,3.0582225,4.58733375,0.91746675,3.948689886,18350.28565,80.27834063,103252.541,45880.00335,137.6271198,80283.10625,56.63375,44.78,,,2.090681402,441.1528,,40.022227,23.077615,,,0.482466556,1.066682839,3.79925266,8.23773108,3.28401562,7.264218664,0.822108487,2.732607824,2.729244658,0.058128969,0.690679104,0.410497862,,,,,,,,,,,,,
5,1-3 weeks,B,broiler DHA,s 2%,52.14312,1407.86424,4132.081544,,,,,,,323.8087752,17.598303,4.92752484,11.26291392,16.89437088,15.48650664,7.0393212,10.13662253,11.26291392,2.81572848,12.67077816,0,0,0,0,0,0,0,0,0,0,73.01431958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0786424,0,0,0,0,0,0,0,0,0,0,6653566.398,318177.3869,633538.908,0,10559.70707,1055.89818,0,1479.992449,5699.295066,23336.90265,4225.827845,5281.206763,266.9500013,571.1176189,11.16717915,2217584.405,14.0786424,11.41495045,6.33538908,0,2.81572848,2.81572848,4.22359272,0.844718544,3.635588506,16895.24615,73.9128726,95065.39181,42242.0645,126.7143254,73917.26035,52.14312,40.79,274.72,3.249520803,1.798445371,927.3567,139.9868248,49.160306,17.820125,,0.205685697,0.486844612,1.039473245,4.340317097,3.322589641,1.008544315,6.312040836,0.438,1.796,2.121,0.06,0.473,0.218,,,,,,,,,,,,,
6,1-3 weeks,B,broiler DHA,s 2%,57.31688,1547.55576,4542.076156,,,,,,,355.9378248,19.344447,5.41644516,12.38044608,18.57066912,17.02311336,7.7377788,11.14240147,12.38044608,3.09511152,13.92800184,0,0,0,0,0,0,0,0,0,0,80.25896789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4755576,0,0,0,0,0,0,0,0,0,0,7313748.522,349747.6773,696400.092,0,11607.46544,1160.66682,0,1626.840695,6264.792198,25652.44368,4645.12418,5805.220215,293.4373929,627.7852193,12.27521229,2437618.218,15.4755576,12.54756802,6.96400092,0,3.09511152,3.09511152,4.64266728,0.928533456,3.996319939,18571.63124,81.2466774,104497.9981,46433.41906,139.2872114,81251.50051,57.31688,43.37,290.67,3.43308152,1.722632476,558.7495,,45.8159575,42.86238,,0.380824014,0.246220988,0.659941,1.86223217,10.83291448,5.038078342,3.649143127,0.969,3.719,4.772,0.157,1.595,0.551,,,,,,,,,,,,,
1,1-3 weeks,B,broiler DHA,S 4%,56.26,1519.02,4458.3237,,,,,,,349.3746,18.98775,5.31657,12.15216,18.22824,16.70922,7.5951,10.936944,12.15216,3.03804,13.67118,0,0,0,0,0,0,0,0,0,0,99.67541072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1902,0,0,0,0,0,0,0,0,0,0,7522187.04,686597.11,683559,0,11393.3908,1139.265,0,1598.23231,6601.93642,27570.25098,4560.47901,5699.227319,348.1795414,662.6907488,14.98361328,2392667.553,15.1902,12.31620034,6.83559,0,3.03804,3.03804,4.55706,0.911412,3.949452,18229.18483,79.74855,102570.9518,45577.19513,136.7185141,79753.19972,56.26,42.2,227.94,2.78813846,2.121136154,416.05175,88.2740448,40.210641,22.800905,,0.224014126,0.457996516,0.910807688,2.602653331,2.443199786,0.689710988,0.025090731,0.341,1.385,6.855,0.046,0.75,0.202,,,,,,,,,,,,,
2,1-3 weeks,B,broiler DHA,S 4%,58.17125,1570.62375,4609.780706,,,,,,,361.2434625,19.63279688,5.497183125,12.56499,18.847485,17.27686125,7.85311875,11.308491,12.56499,3.1412475,14.13561375,0,0,0,0,0,0,0,0,0,0,103.0615577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7062375,0,0,0,0,0,0,0,0,0,0,7777728.81,709922.0074,706780.6875,0,11780.44409,1177.967813,0,1652.52704,6826.215677,28506.86033,4715.40641,5892.839978,360.0078057,685.2035055,15.49263267,2473950.629,15.7062375,12.73460307,7.067806875,0,3.1412475,3.1412475,4.71187125,0.94237425,4.08362175,18848.46193,82.45774688,106055.4653,47125.53168,141.3630797,82462.55455,58.17125,39.52,354.55,2.847671665,1.679866228,245.846,129.8418972,42.9897475,31.51727,,0.248452031,0.162040794,0.461069423,1.734959589,0.870083653,0.32465473,3.017643018,0.598,2.146,,0.067,0.696,0.426,,,,,,,,,,,,,
3,1-3 weeks,B,broiler DHA,S 4%,49.62938,1339.99326,3932.880218,,,,,,,308.1984498,16.74991575,4.68997641,10.71994608,16.07991912,14.73992586,6.6999663,9.647951472,10.71994608,2.67998652,12.05993934,0,0,0,0,0,0,0,0,0,0,87.9279921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3999326,0,0,0,0,0,0,0,0,0,0,6635646.624,605677.0153,602996.967,0,10050.60294,1004.994945,0,1409.869866,5823.853739,24320.91117,4022.995837,5027.534986,307.1442369,584.5881798,13.21769352,2110675.563,13.3999326,10.86465316,6.02996967,0,2.67998652,2.67998652,4.01997978,0.803995956,3.483982476,16080.7526,70.34964615,90482.27412,40205.61565,120.6053162,70353.74787,49.62938,38.92,186.69,,1.261923346,160.5712,96.77206851,38.891743,38.019955,,0.150700412,0.26142596,0.446594767,1.649432588,2.120576686,0.46134625,3.138342246,0.4,1.442,1.972,0.038,0.963,0.201,,,,,,,,,,,,,
4,1-3 weeks,B,broiler DHA,S 4%,62.18687,1679.04549,4927.998513,,,,,,,386.1804627,20.98806863,5.876659215,13.43236392,20.14854588,18.46950039,8.39522745,12.08912753,13.43236392,3.35809098,15.11140941,0,0,0,0,0,0,0,0,0,0,110.1760009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7904549,0,0,0,0,0,0,0,0,0,0,8314633.266,758928.6389,755570.4705,0,12593.66002,1259.284118,0,1766.602647,7297.436223,30474.71762,5040.915666,6299.628659,384.8595072,732.5037939,16.56210471,2644729.933,16.7904549,13.61368555,7.555704705,0,3.35809098,3.35809098,5.03713647,1.007427294,4.365518274,20149.59025,88.14988823,113376.5809,50378.65461,151.1215155,88155.02778,62.18687,43.54,238.8,2.093584395,1.694121644,578.0051,,44.167335,23.49268,,0.260670983,0.171717062,0.298705975,0.994207139,0.671505241,0.39486429,1.548967485,0.239,0.825,1.781,0.091,0.432,0.238,,,,,,,,,,,,,
5,1-3 weeks,B,broiler DHA,S 4%,59.3425,1602.2475,4702.596413,,,,,,,368.516925,20.02809375,5.60786625,12.81798,19.22697,17.6247225,8.0112375,11.536182,12.81798,3.204495,14.4202275,0,0,0,0,0,0,0,0,0,0,105.1366523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.022475,0,0,0,0,0,0,0,0,0,0,7934329.62,724215.9439,721011.375,0,12017.63764,1201.685625,0,1685.799873,6963.65823,29080.83218,4810.348839,6011.489462,367.2563888,698.9997469,15.80456934,2523762.429,16.022475,12.99100815,7.21011375,0,3.204495,3.204495,4.8067425,0.9613485,4.1658435,19227.9666,84.11799375,108190.8408,48074.38148,144.2093569,84122.89823,59.3425,44.38,164.92,2.698838651,1.333200427,489.63565,,41.623746,12.839345,,,0.174182233,0.334019724,1.556931493,3.434286586,0.734203007,2.624360802,0.377542252,1.163504599,2.158355582,0.060990325,0.442623409,0.274692002,,,,,,,,,,,,,
6,1-3 weeks,B,broiler DHA,S 4%,58.52,1580.04,4637.4174,,,,,,,363.4092,19.7505,5.53014,12.64032,18.96048,17.38044,7.9002,11.376288,12.64032,3.16008,14.22036,0,0,0,0,0,0,0,0,0,0,103.6794354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8004,0,0,0,0,0,0,0,0,0,0,7824358.08,714178.1528,711018,0,11851.07056,1185.03,0,1662.434319,6867.140407,28677.7655,4743.676354,5928.168907,362.1661351,689.3114579,15.58551456,2488782.531,15.8004,12.81094994,7.11018,0,3.16008,3.16008,4.74012,0.948024,4.108104,18961.46278,82.9521,106691.2922,47408.06006,142.2105838,82956.9365,58.52,44.16,339.36,,2.235179483,482.07095,50.46113307,50.2436865,51.578745,,0.20772219,0.33484078,0.674004985,2.594845624,6.261930997,2.296658792,3.387392031,0.277218362,0.91179438,1.84489093,0.052289858,0.342707723,0.403216571,,,,,,,,,,,,,
1,4-6 weeks,B,broiler DHA,G Control,177.528,4793.256,14499.5994,,,,,,,958.6512,52.725816,15.3384192,34.9907688,52.2464904,47.93256,18.2143728,31.156164,35.4700944,8.6278608,39.3046992,0,0,0,0,0,0,0,0,0,0,256.431533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.93256,0,0,0,0,0,0,0,0,0,0,21569652,0.254823869,2156965.2,0,35952.09943,3594.942,0,5034.399916,17975.53545,71909.01608,14383.8159,17977.1178,671.1137425,1797.729692,28.759536,7549983.588,43.139304,31.70576353,16.776396,0,9.586512,9.586512,14.379768,8.531084961,1118.722463,38346.048,1677.6396,383460.48,287595.36,718.9884,191730.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4-6 weeks,B,broiler DHA,G Control,165.027,4455.729,13478.58023,,,,,,,891.1458,49.013019,14.2583328,32.5268217,48.5674461,44.55729,16.9317702,28.9622385,32.9723946,8.0203122,36.5369778,0,0,0,0,0,0,0,0,0,0,238.3743781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.55729,0,0,0,0,0,0,0,0,0,0,20050780.5,0.236879921,2005078.05,0,33420.45825,3341.79675,0,4679.89227,16709.75107,66845.39451,13370.94986,16711.222,623.8558852,1671.138851,26.734374,7018335.934,40.101561,29.47313684,15.5950515,0,8.911458,8.911458,13.367187,7.930351031,1039.945316,35645.832,1559.50515,356458.32,267343.74,668.35935,178229.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4-6 weeks,B,broiler DHA,G Control,156.66,4229.82,12795.2055,,,,,,,845.964,46.52802,13.535424,30.877686,46.105038,42.2982,16.073316,27.49383,31.300668,7.613676,34.684524,0,0,0,0,0,0,0,0,0,0,226.2886078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2982,0,0,0,0,0,0,0,0,0,0,19034190,0.224869921,1903419,0,31726.01447,3172.365,0,4442.618014,15862.55342,63456.27991,12693.03208,15863.94977,592.2258962,1586.410783,25.37892,6662500.726,38.06838,27.97882539,14.80437,0,8.45964,8.45964,12.68946,7.528275934,987.2192619,33838.56,1480.437,338385.6,253789.2,634.473,169192.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4-6 weeks,B,broiler DHA,G Control,173.531,4685.337,14173.14443,,,,,,,937.0674,51.538707,14.9930784,34.2029601,51.0701733,46.85337,17.8042806,30.4546905,34.6714938,8.4336066,38.4197634,0,0,0,0,0,0,0,0,0,0,250.6580391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.85337,0,0,0,0,0,0,0,0,0,0,21084016.5,0.249086571,2108401.65,0,35142.6466,3514.00275,0,4921.051619,17570.82061,70290.00197,14059.96777,17572.36734,656.0037789,1757.254243,28.112022,7379997.533,42.168033,30.99191593,16.3986795,0,9.370674,9.370674,14.056011,8.339009646,1093.534698,37482.696,1639.86795,374826.96,281120.22,702.80055,187413.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
